,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll
34,3,1,2,2,6,1,5,3,3,1,6,11,3,6,6,17,8,15,4,15,13,3,18,6,3,0,4,0,10,1,,,,,-5030.0,,,,,-1075.0
35,3,1,2,2,6,1,5,3,3,1,6,11,3,6,6,17,8,15,14,5,13,3,18,6,21,0,4,0,0,11,,,,,,,,,,
36,3,1,2,2,6,1,5,3,3,1,19,11,17,11,6,17,8,15,14,5,0,3,4,1,21,0,4,0,0,11,,,,,,,,,,
37,1,0,2,2,6,1,13,3,3,1,19,11,17,11,6,17,8,15,14,5,0,3,4,1,21,0,4,0,0,11,-3095.0,-3055.0,,,,,-9040.0,,,
38,1,0,2,2,6,1,13,3,3,1,9,1,17,11,7,17,8,15,14,12,8,17,4,1,10,0,4,0,0,4,,,-5085.0,,,-1085.0,,,,
39,1,0,2,2,2,1,13,3,3,1,9,1,7,11,7,7,8,15,14,12,8,17,6,1,10,4,4,0,0,4,,,,,-46035.0,,,,-2070.0,-5060.0
40,1,0,2,2,2,1,13,5,3,1,9,1,7,11,7,7,2,15,4,2,8,17,6,1,21,4,0,0,10,15,,,,,,,-11010.0,-3075.0,,
41,1,0,2,2,2,1,13,5,3,1,13,15,10,11,7,7,2,5,4,2,4,3,3,1,21,4,21,13,10,15,,,,-2055.0,,,,,,
42,1,0,2,2,2,1,13,5,3,1,13,15,10,1,7,11,2,5,4,2,4,3,3,14,21,0,21,13,10,15,,,,,,,,,,
43,1,0,1,2,2,1,13,5,3,1,13,15,10,1,18,11,2,5,14,14,4,3,3,14,0,0,21,13,0,3,,,-5050.0,,,,,,,
44,1,1,1,2,2,1,13,5,3,1,13,15,0,1,18,11,12,18,14,14,4,3,10,14,0,0,1,0,0,3,,-13075.0,,,,,,,,
45,1,1,1,2,2,1,13,1,3,1,13,5,0,15,18,11,12,18,14,14,4,11,10,0,0,0,1,0,0,3,,,,,,,,-5090.0,,
46,1,1,1,2,2,1,1,1,3,3,13,5,0,15,18,11,12,8,14,14,4,11,10,0,0,0,1,11,0,3,-4065.0,,,,,-1055.0,-13060.0,,-2070.0,-4070.0
47,1,1,1,3,2,1,1,1,3,3,3,5,10,15,18,1,2,8,4,4,16,11,0,0,0,17,1,11,10,11,,,,-2075.0,,,,,,
48,1,1,1,3,7,1,1,1,3,3,3,16,10,5,18,1,2,8,4,4,16,0,0,15,0,17,1,11,10,11,,,,,-2090.0,,,,,
49,1,1,1,3,7,1,1,1,3,3,3,16,10,5,8,1,2,19,4,4,16,0,0,15,2,17,1,0,10,11,,,,,,,,,,
50,1,3,1,3,7,1,1,1,3,3,19,16,10,5,8,18,2,19,14,14,0,0,0,15,2,0,1,0,0,1,,-1080.0,,,,,,,,
51,1,3,1,3,7,1,1,1,3,3,19,6,10,18,8,18,2,19,14,14,0,15,0,2,2,0,1,0,0,1,,,-1050.0,,,,,,,
