,meanReorderPoints,node1InventoryMeans,node0InventoryMeans,rewardMeans
0,2.4125874125874125,13.405594405594405,1.8450704225352113,-4622.601351351352
1,2.1818181818181817,13.959183673469388,1.9662162162162162,-3892.4666666666667
2,1.997002997002997,13.958333333333334,1.2746478873239437,-3334.189189189189
3,2.102897102897103,15.226666666666667,1.3288590604026846,-3130.4
4,2.090909090909091,13.64,2.2244897959183674,-3885.662251655629
5,2.4265734265734267,13.398601398601398,2.3970588235294117,-5251.333333333333
6,2.121878121878122,14.208333333333334,1.9726027397260273,-4260.10067114094
7,1.931068931068931,14.301369863013699,1.2206896551724138,-3211.1258278145697
8,2.078921078921079,14.180555555555555,1.8958333333333333,-4093.074324324324
9,1.8421578421578422,14.340277777777779,1.4475524475524475,-3978.4797297297296
